Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
1267,1267, P, Yes, None,179.66,4.47,175.59
3334,1322, O, Yes, None,177.36,356.51,176.92
4805,790, N, Yes, None,175.94,5.27,176.46
6994,971, C, Yes, None,174.71,347.2,175.75
8762,738, P, Yes, None,177.52,5.26,173.84
10498,469, C, Yes, None,179.63,14.12,172.74
13450,1417, Q, Yes, None,177.72,7.44,169.99
14669,633, Y, Yes, None,177.35,356.01,172.8
16539,500, T, Yes, None,175.6,351.2,172.45
18843,800, Z, Yes, None,175.91,350.46,172.55
20847,795, W, Yes, None,176.74,349.48,176.99
23069,1016, B, Yes, None,177.09,2.24,173.14
25987,1923, A, Yes, None,164.21,359.63,176.47
28071,2000, b, No, Omission,177.56,12.5,172.03
28792,721, V, Yes, None,177.94,14.24,171.83
32077,2000, X, Yes, None,176.95,6.29,171.35
32779,701, D, Yes, None,177.45,5.16,171.73
35217,1133, M, Yes, None,177.12,356.43,172.67
37651,1550, P, Yes, None,177.6,358.36,170.12
38865,752, D, Yes, None,177.66,358.13,170.16
40852,733, E, Yes, None,177.78,358.19,170.09
42800,666, I, Yes, None,179.49,11.4,170.5
44818,667, J, Yes, None,178.48,14.78,180.4
46768,599, M, Yes, None,174.09,2.5,173.25
49321,1147, D, Yes, None,172.83,2.79,172.05
50960,767, J, Yes, None,175.18,16.16,172.35
52594,382, b, Yes, None,175.07,8.53,171.95
54496,273, a, Yes, None,175.34,4.63,172.15
56826,598, X, No, Commission,176.4,4.84,171.05
60249,2000, W, No, Omission,168.94,73.21,167.68
61166,917, J, Yes, None,174.25,358.45,173.67
64262,2000, x, Yes, None,177.38,1.73,171.46
64785,523, a, Yes, None,175.82,3.17,169.55
68271,2000, x, Yes, None,178.7,359.93,173.4
69086,815, B, Yes, None,178.54,348.96,175.69
71291,1019, Z, Yes, None,177.87,359.02,176.31
74144,1867, V, Yes, None,175.43,11.03,174.79
76305,2000, E, No, Omission,170.2,7.1,173.23
76556,250, x, No, Commission,172.58,2.92,173.9
78711,399, H, Yes, None,175.61,11.85,171.28
82328,2000, X, Yes, None,178.18,348.31,175.1
83094,766, G, Yes, None,177.65,348.31,176.54
85760,1420, Z, Yes, None,178.34,2.63,177.77
86495,150, M, Yes, None,178.14,2.14,178.22
88945,600, G, Yes, None,177.02,357.12,175.31
91064,709, T, Yes, None,177.16,0.64,174.34
93293,933, G, Yes, None,175.96,358.72,174.78
96379,2000, x, Yes, None,173.01,303.98,176.56
97064,685, Z, Yes, None,178.09,347.56,174.92
99149,766, D, Yes, None,178.18,356.52,175.83
101602,1208, T, Yes, None,178.35,7.21,174.09
103702,1304, Q, Yes, None,178.47,6.1,173.79
105502,1099, M, Yes, None,178.01,2.65,174.68
108407,2000, X, Yes, None,177.81,358.74,176.19
109007,599, V, Yes, None,177.78,358.75,176.17
112423,2000, x, Yes, None,177.65,358.98,176.05
112993,570, P, Yes, None,177.77,359.01,176.02
115012,583, S, Yes, None,177.73,359.31,175.83
117213,781, W, Yes, None,177.79,359.27,175.88
119967,1533, A, Yes, None,179.28,12.04,172.45
121766,1316, U, Yes, None,178.41,11.47,171.97
124171,1708, W, Yes, None,175.21,8.74,172.47
125206,738, E, Yes, None,176.58,4.45,172.72
127624,1152, P, Yes, None,179.39,329.24,176.08
130482,2000, X, Yes, None,178.14,357.48,173.88
131359,877, C, Yes, None,179.76,353.87,173.6
133428,944, F, Yes, None,179.04,2.15,175.79
135147,646, M, Yes, None,179.14,357.76,176.24
137194,682, F, Yes, None,179.61,357.69,175.95
139600,1083, J, Yes, None,179.56,358.72,175.71
141284,766, F, Yes, None,179.33,2.83,173.85
143636,1100, C, Yes, None,180.21,10.86,171.59
145491,952, Q, Yes, None,178.76,18.38,172.94
148577,2000, x, Yes, None,178.48,5.93,175.14
149426,849, O, Yes, None,178.15,2.34,175.66
151427,838, S, Yes, None,178.41,1.7,175.61
153274,685, Q, Yes, None,178.55,1.77,175.56
155058,466, U, Yes, None,178.6,2.05,175.36
157119,515, M, Yes, None,178.46,2.34,175.17
159159,549, N, Yes, None,178.7,2.44,174.88
161059,450, Q, Yes, None,178.26,2.0,175.62
164645,2000, x, Yes, None,178.2,347.58,173.38
166664,2000, X, Yes, None,178.12,358.43,173.89
167241,576, H, Yes, None,178.18,2.35,174.0
170681,2000, x, Yes, None,178.38,3.92,173.17
171052,371, E, Yes, None,178.46,3.85,173.14
174687,2000, x, Yes, None,176.87,337.93,173.32
175651,964, W, Yes, None,176.06,15.99,174.99
178723,2000, X, Yes, None,175.92,6.63,173.44
179740,1016, A, Yes, None,176.48,6.13,173.26
181938,1204, a, Yes, None,176.45,6.05,173.36
183741,1002, G, Yes, None,176.65,5.68,173.37
186747,2000, A, No, Omission,173.45,350.43,173.15
187778,1031, a, Yes, None,178.11,2.07,176.89
189932,1185, E, Yes, None,175.14,358.33,179.6
192065,1306, J, Yes, None,175.12,355.51,174.62
193445,681, L, Yes, None,175.18,355.88,174.54
195395,629, Y, Yes, None,175.54,356.55,174.37
197453,684, a, Yes, None,176.04,356.81,174.13
200115,1328, H, Yes, None,176.19,357.51,173.57
201702,904, Q, Yes, None,176.18,357.46,173.6
203415,612, b, Yes, None,176.2,357.52,173.56
205122,316, P, Yes, None,176.21,357.49,173.65
207674,865, C, Yes, None,177.78,17.54,176.29
209876,1050, S, Yes, None,177.46,3.43,173.29
212144,1299, a, Yes, None,177.37,2.77,173.64
213454,598, B, Yes, None,177.47,2.78,173.57
216865,2000, x, Yes, None,176.48,2.97,173.85
217394,529, B, Yes, None,175.43,5.01,172.98
219414,532, V, Yes, None,177.81,0.76,172.06
221334,449, J, Yes, None,180.05,6.17,179.41
223334,439, C, Yes, None,180.33,4.58,175.61
226052,1152, W, Yes, None,179.9,355.52,171.07
227835,933, V, Yes, None,180.73,5.93,171.82
229619,714, b, Yes, None,180.72,5.84,171.75
231722,799, A, Yes, None,180.53,5.91,171.69
234757,1824, U, Yes, None,170.33,8.18,175.58
236942,2000, L, No, Omission,172.7,97.97,162.08
238955,2000, Y, No, Omission,173.3,3.49,175.05
239138,183, M, Yes, None,174.57,359.16,175.71
241573,606, I, Yes, None,177.77,3.13,171.39
243890,917, R, Yes, None,177.25,1.7,171.43
246976,2001, Y, Yes, None,165.17,1.65,175.11
248987,2000, J, No, Omission,159.07,354.3,174.69
249474,487, P, Yes, None,169.08,350.01,174.2
252996,2000, x, Yes, None,176.74,230.55,192.27
254209,1213, Q, Yes, None,178.29,348.11,180.2
256136,1124, Y, Yes, None,176.33,15.01,174.55
258331,1310, N, Yes, None,164.4,13.15,174.54
260225,1202, A, Yes, None,184.32,352.44,182.57
261908,866, I, Yes, None,181.28,359.24,175.86
263508,450, W, Yes, None,180.35,0.34,174.17
265403,333, b, Yes, None,181.13,1.71,173.79
267715,645, U, Yes, None,180.34,353.93,174.41
269786,706, T, Yes, None,181.04,6.8,173.1
271540,455, G, Yes, None,178.47,4.94,172.64
273452,362, I, Yes, None,178.4,4.37,172.55
275541,450, x, No, Commission,178.69,348.12,173.46
279118,2000, X, Yes, None,178.88,353.68,172.65
279657,538, B, Yes, None,178.91,353.7,172.72
