Elapsed Time (ms),Response Time (ms),Alphabet,Correct,Error Type,Pitch,Yaw,Roll,std_pitch,var_pitch,mean_pitch,mode_pitch,median_pitch,std_yaw,var_yaw,mean_yaw,mode_yaw,median_yaw,std_roll,var_roll,mean_roll,mode_roll,median_roll,Attentive
1267,1267,P,Yes,None,180,4,176,3.13,9.79,183.0,184.0,184.0,149.81,22444.25,187.02,180.0,180.0,3.26,10.64,175.14,178.0,175.0,1
3334,1322,O,Yes,None,177,357,177,3.63,13.16,181.62,177.0,182.0,155.28,24110.52,206.2,356.0,180.0,2.91,8.48,175.55,177.0,176.0,1
4805,790,N,Yes,None,176,5,176,3.76,14.12,180.89,177.0,180.0,159.17,25334.03,201.7,359.0,180.0,2.7,7.31,175.68,177.0,176.0,1
6994,971,C,Yes,None,175,347,176,1.51,2.29,175.8,177.0,177.0,145.03,21034.27,276.03,348.0,348.0,0.5,0.25,176.56,177.0,177.0,1
8762,738,P,Yes,None,178,5,174,1.31,1.7,175.34,175.0,175.0,159.94,25580.63,245.18,348.0,347.0,0.97,0.94,175.72,176.0,176.0,1
10498,469,C,Yes,None,180,14,173,2.19,4.79,176.47,175.0,176.0,168.74,28474.85,203.45,348.0,346.0,1.26,1.59,174.65,174.0,174.0,1
13450,1417,Q,Yes,None,178,7,170,1.04,1.08,179.5,180.0,180.0,12.69,161.14,19.87,14.0,14.0,1.53,2.35,172.62,173.0,173.0,1
14669,633,Y,Yes,None,177,356,173,1.25,1.56,179.33,180.0,180.0,126.96,16119.99,79.35,14.0,22.0,1.47,2.15,172.23,173.0,173.0,1
16539,500,T,Yes,None,176,351,172,2.09,4.39,177.7,175.0,177.0,164.16,26949.43,204.9,353.0,352.0,1.24,1.54,171.8,172.0,172.0,1
18843,800,Z,Yes,None,176,350,173,0.83,0.7,176.07,176.0,176.0,2.58,6.66,352.64,352.0,352.0,0.49,0.24,172.4,172.0,172.0,1
20847,795,W,Yes,None,177,349,177,0.57,0.32,176.19,176.0,176.0,7.14,50.98,346.86,352.0,350.0,2.34,5.47,173.96,172.0,173.0,1
23069,1016,B,Yes,None,177,2,173,0.48,0.23,176.63,177.0,177.0,113.05,12780.55,306.1,352.0,349.5,2.11,4.47,175.05,173.0,175.0,1
25987,1923,A,Yes,None,164,360,176,9.11,83.03,168.72,177.0,176.0,161.6,26115.53,112.88,11.0,9.0,1.31,1.72,175.26,176.0,176.0,1
28071,2000,b,No,Omission,178,12,172,8.43,71.01,167.55,177.0,170.0,152.29,23192.3,95.69,11.0,10.0,1.48,2.18,175.1,176.0,176.0,0
28792,721,V,Yes,None,178,14,172,8.8,77.45,167.96,178.0,170.0,151.49,22949.17,97.07,11.0,11.0,1.76,3.09,174.87,176.0,176.0,1
32077,2000,X,Yes,None,177,6,171,0.85,0.72,176.82,176.0,177.0,149.79,22436.71,93.32,5.0,12.0,0.76,0.57,172.27,172.0,172.0,1
32779,701,D,Yes,None,177,5,172,0.76,0.58,176.92,177.0,177.0,143.89,20702.91,83.75,5.0,10.0,0.36,0.13,171.98,172.0,172.0,1
35217,1133,M,Yes,None,177,356,173,0.51,0.26,176.75,177.0,177.0,163.05,26584.63,112.29,3.0,5.0,0.58,0.34,171.94,172.0,172.0,1
37651,1550,P,Yes,None,178,358,170,0.56,0.32,177.45,177.0,177.0,175.7,30870.91,208.08,3.0,357.0,1.19,1.41,171.06,172.0,171.0,1
38865,752,D,Yes,None,178,358,170,0.53,0.29,177.68,178.0,178.0,137.7,18961.66,293.26,358.0,358.0,1.16,1.34,170.63,170.0,170.0,1
40852,733,E,Yes,None,178,358,170,0.18,0.03,178.03,178.0,178.0,0.61,0.37,358.32,358.0,358.0,0.32,0.1,169.89,170.0,170.0,1
42800,666,I,Yes,None,179,11,170,0.39,0.15,178.18,178.0,178.0,140.12,19633.36,288.87,358.0,358.0,0.08,0.01,170.01,170.0,170.0,1
44818,667,J,Yes,None,178,15,180,0.82,0.68,178.87,178.0,179.0,169.81,28836.43,149.72,358.0,16.0,3.98,15.85,172.57,170.0,170.0,1
46768,599,M,Yes,None,174,2,173,1.91,3.66,178.08,179.0,179.0,130.31,16981.41,70.5,13.0,14.0,3.96,15.65,174.9,170.0,174.0,1
49321,1147,D,Yes,None,173,3,172,2.1,4.4,174.86,173.0,174.0,128.93,16623.06,62.92,4.0,4.5,3.32,11.01,174.49,172.0,173.0,1
50960,767,J,Yes,None,175,16,172,0.79,0.63,173.57,173.0,173.0,116.31,13526.88,48.05,3.0,4.0,0.55,0.31,172.27,172.0,172.0,1
52594,382,b,Yes,None,175,9,172,1.07,1.15,173.91,173.0,173.0,5.98,35.71,8.35,3.0,5.0,0.19,0.04,172.04,172.0,172.0,1
54496,273,a,Yes,None,175,5,172,0.84,0.71,174.67,175.0,175.0,5.42,29.42,9.05,5.0,5.0,0.19,0.04,172.04,172.0,172.0,1
56826,598,X,No,Commission,176,5,171,0.52,0.27,175.32,175.0,175.0,3.45,11.9,7.08,5.0,5.0,0.43,0.18,171.76,172.0,172.0,0
60249,2000,W,No,Omission,169,73,168,3.6,12.95,173.87,176.0,176.0,32.37,1047.51,31.53,5.0,8.0,3.05,9.29,169.48,171.0,171.0,0
61166,917,J,Yes,None,174,358,174,3.71,13.73,173.1,176.0,175.0,61.04,3725.49,44.59,5.0,21.5,3.2,10.24,169.55,171.0,171.0,1
64262,2000,x,Yes,None,177,2,171,3.66,13.39,173.8,177.0,176.0,127.03,16136.86,79.52,1.0,4.0,3.33,11.11,170.77,172.0,172.0,1
64785,523,a,Yes,None,176,3,170,3.07,9.43,174.73,177.0,176.0,129.39,16742.52,71.53,1.0,3.0,2.28,5.18,171.51,172.0,172.0,1
68271,2000,x,Yes,None,179,360,173,0.69,0.47,177.04,177.0,177.0,176.44,31130.8,148.16,1.0,3.0,0.74,0.54,171.79,172.0,172.0,1
69086,815,B,Yes,None,179,349,176,0.96,0.93,177.33,177.0,177.0,176.41,31118.91,204.97,359.0,349.0,1.55,2.41,172.33,172.0,172.0,1
71291,1019,Z,Yes,None,178,359,176,1.69,2.87,178.79,178.0,178.0,132.09,17447.84,272.22,360.0,343.0,2.25,5.06,174.66,172.0,175.0,1
74144,1867,V,Yes,None,175,11,175,3.05,9.28,179.76,178.0,179.5,133.78,17896.53,166.11,88.0,88.0,2.53,6.4,174.52,171.0,175.0,1
76305,2000,E,No,Omission,170,7,173,5.57,31.01,176.1,184.0,176.0,41.04,1684.64,55.55,82.0,58.0,2.81,7.9,172.7,171.0,173.0,0
76556,250,x,No,Commission,173,3,174,5.64,31.79,175.77,184.0,176.0,32.74,1071.83,53.28,82.0,57.0,2.66,7.09,172.55,171.0,173.0,0
78711,399,H,Yes,None,176,12,171,3.44,11.85,173.58,177.0,175.0,107.52,11559.83,66.96,7.0,14.0,2.63,6.92,172.64,174.0,174.0,1
82328,2000,X,Yes,None,178,348,175,1.15,1.32,176.83,177.0,177.0,160.48,25752.62,150.93,7.0,41.0,2.22,4.92,172.11,171.0,171.0,1
83094,766,G,Yes,None,178,348,177,1.21,1.47,177.01,178.0,177.0,161.27,26008.31,196.58,7.0,322.5,2.52,6.35,172.7,171.0,172.0,1
85760,1420,Z,Yes,None,178,3,178,1.41,1.99,178.5,178.0,178.0,154.47,23860.39,247.36,348.0,345.0,1.62,2.64,176.47,176.0,176.0,1
86495,150,M,Yes,None,178,2,178,1.18,1.4,178.71,178.0,178.0,170.56,29089.13,197.75,2.0,340.0,1.26,1.59,177.11,178.0,177.0,1
88945,600,G,Yes,None,177,357,175,1.39,1.94,178.43,178.0,178.0,126.44,15986.35,62.11,2.0,7.0,1.61,2.6,176.91,178.0,178.0,1
91064,709,T,Yes,None,177,1,174,0.52,0.27,177.28,177.0,177.0,171.5,29412.76,157.07,2.0,31.0,1.41,1.99,175.86,175.0,176.0,1
93293,933,G,Yes,None,176,359,175,0.47,0.22,176.68,177.0,177.0,174.81,30558.53,212.38,1.0,352.0,0.53,0.28,175.1,175.0,175.0,1
96379,2000,x,Yes,None,173,304,177,1.39,1.92,175.4,176.0,176.0,142.92,20424.7,271.24,359.0,343.0,0.7,0.49,174.85,175.0,175.0,1
97064,685,Z,Yes,None,178,348,175,1.46,2.14,175.3,176.0,176.0,94.64,8955.8,316.08,359.0,344.5,0.83,0.7,174.99,175.0,175.0,1
99149,766,D,Yes,None,178,357,176,2.11,4.43,176.15,178.0,176.0,15.92,253.33,343.5,357.0,349.0,0.96,0.92,175.28,176.0,175.0,1
101602,1208,T,Yes,None,178,7,174,0.55,0.3,177.92,178.0,178.0,156.18,24393.29,258.36,356.0,356.0,0.81,0.66,175.38,176.0,176.0,1
103702,1304,Q,Yes,None,178,6,174,0.0,0.0,178.0,178.0,178.0,162.15,26291.32,113.21,6.0,7.0,0.92,0.84,174.82,174.0,174.0,1
105502,1099,M,Yes,None,178,3,175,0.34,0.12,178.14,178.0,178.0,1.28,1.63,5.75,6.0,6.0,0.37,0.14,174.16,174.0,174.0,1
