Elapsed Time (ms),Response Time (ms),Alphabet,Correct,Error Type,Pitch,Yaw,Roll,std_pitch,var_pitch,mean_pitch,mode_pitch,median_pitch,std_yaw,var_yaw,mean_yaw,mode_yaw,median_yaw,std_roll,var_roll,mean_roll,mode_roll,median_roll,Attentive
1267,1267,P,Yes,None,180,4,176,3.13,9.79,183.00,184.00,184.00,149.81,22444.25,187.02,180.00,180.00,3.26,10.64,175.14,178.00,175.00,1
3334,1322,O,Yes,None,177,357,177,3.63,13.16,181.62,177.00,182.00,155.28,24110.52,206.20,356.00,180.00,2.91,8.48,175.55,177.00,176.00,1
4805,790,N,Yes,None,176,5,176,3.76,14.12,180.89,177.00,180.00,159.17,25334.03,201.70,359.00,180.00,2.70,7.31,175.68,177.00,176.00,1
6994,971,C,Yes,None,175,347,176,1.51,2.29,175.80,177.00,177.00,145.03,21034.27,276.03,348.00,348.00,0.50,0.25,176.56,177.00,177.00,1
8762,738,P,Yes,None,178,5,174,1.31,1.70,175.34,175.00,175.00,159.94,25580.63,245.18,348.00,347.00,0.97,0.94,175.72,176.00,176.00,1
10498,469,C,Yes,None,180,14,173,2.19,4.79,176.47,175.00,176.00,168.74,28474.85,203.45,348.00,346.00,1.26,1.59,174.65,174.00,174.00,1
13450,1417,Q,Yes,None,178,7,170,1.04,1.08,179.50,180.00,180.00,12.69,161.14,19.87,14.00,14.00,1.53,2.35,172.62,173.00,173.00,1
14669,633,Y,Yes,None,177,356,173,1.25,1.56,179.33,180.00,180.00,126.96,16119.99,79.35,14.00,22.00,1.47,2.15,172.23,173.00,173.00,1
16539,500,T,Yes,None,176,351,172,2.09,4.39,177.70,175.00,177.00,164.16,26949.43,204.90,353.00,352.00,1.24,1.54,171.80,172.00,172.00,1
18843,800,Z,Yes,None,176,350,173,0.83,0.70,176.07,176.00,176.00,2.58,6.66,352.64,352.00,352.00,0.49,0.24,172.40,172.00,172.00,1
20847,795,W,Yes,None,177,349,177,0.57,0.32,176.19,176.00,176.00,7.14,50.98,346.86,352.00,350.00,2.34,5.47,173.96,172.00,173.00,1
23069,1016,B,Yes,None,177,2,173,0.48,0.23,176.63,177.00,177.00,113.05,12780.55,306.10,352.00,349.50,2.11,4.47,175.05,173.00,175.00,1
