Elapsed Time (ms),Response Time (ms),Alphabet,Correct,Error Type,Pitch,Yaw,Roll,std_pitch,var_pitch,mean_pitch,mode_pitch,median_pitch,std_yaw,var_yaw,mean_yaw,mode_yaw,median_yaw,std_roll,var_roll,mean_roll,mode_roll,median_roll,Attentive
1267,1267,P,Yes,None,180,184,176,1.70,2.88,176.31,357.00,177.00,5.65,31.95,177.39,179.00,178.00,0.49,0.24,176.60,177.00,177.00,1
3334,1322,O,Yes,None,177,177,177,1.30,1.69,175.34,175.00,175.00,6.68,44.68,173.92,168.00,173.00,0.87,0.76,175.98,176.00,176.00,1
4805,790,N,Yes,None,176,185,176,1.83,3.36,175.72,175.00,175.00,9.12,83.13,175.95,168.00,173.00,1.27,1.61,175.19,176.00,175.00,1
6994,971,C,Yes,None,175,167,176,1.93,3.71,178.17,180.00,179.00,12.83,164.70,189.01,194.00,191.00,0.86,0.74,173.81,174.00,174.00,1
8762,738,P,Yes,None,178,185,174,1.01,1.03,179.52,180.00,180.00,12.59,158.53,199.95,194.00,194.00,1.56,2.44,172.42,173.00,173.00,1
10498,469,C,Yes,None,180,194,173,1.80,3.23,178.69,180.00,180.00,17.63,310.75,194.58,178.00,194.00,1.44,2.06,172.10,173.00,172.00,1
13450,1417,Q,Yes,None,178,187,170,0.90,0.80,176.17,176.00,176.00,3.97,15.77,173.65,172.00,172.00,0.66,0.44,172.29,172.00,172.00,1
14669,633,Y,Yes,None,177,176,173,0.53,0.28,175.85,176.00,176.00,5.98,35.78,169.50,172.00,171.00,0.93,0.86,172.62,172.00,172.00,1
16539,500,T,Yes,None,176,171,172,0.49,0.24,176.41,176.00,176.00,7.05,49.71,166.72,171.00,170.00,2.35,5.51,174.59,173.00,173.00,1
18843,800,Z,Yes,None,176,170,173,1.38,1.91,176.44,357.00,177.00,10.74,115.29,171.23,183.00,172.50,1.86,3.46,175.30,173.00,175.00,1
20847,795,W,Yes,None,177,169,177,9.14,83.61,169.16,357.00,176.00,6.27,39.37,182.16,191.00,182.00,1.34,1.79,175.29,176.00,176.00,1
23069,1016,B,Yes,None,177,182,173,8.42,70.94,167.54,177.00,170.00,5.65,31.94,184.46,191.00,185.00,1.47,2.17,175.10,176.00,176.00,1
25987,1923,A,Yes,None,164,180,176,2.88,8.27,175.77,357.00,177.00,6.77,45.85,185.06,185.00,185.00,1.56,2.44,173.03,172.00,172.00,1
28071,2000,b,No,Omission,178,193,172,0.73,0.53,176.88,357.00,177.00,5.65,31.88,185.36,185.00,185.00,0.36,0.13,171.98,172.00,172.00,0
