Elapsed Time (ms),Response Time (ms),Alphabet,Correct,Error Type,Pitch,Yaw,Roll,std_pitch,var_pitch,mean_pitch,mode_pitch,median_pitch,std_yaw,var_yaw,mean_yaw,mode_yaw,median_yaw,std_roll,var_roll,mean_roll,mode_roll,median_roll,Attentive
1267,1267,P,Yes,None,180,184,176,3.13,9.79,183.00,184.00,184.00,86.06,7406.70,177.71,0.00,180.00,3.26,10.64,175.14,178.00,175.00,1
3334,1322,O,Yes,None,177,177,177,2.58,6.67,179.09,357.00,178.00,3.86,14.89,180.48,176.00,179.00,0.93,0.86,176.63,177.00,177.00,1
4805,790,N,Yes,None,176,185,176,0.38,0.15,176.99,357.00,177.00,2.81,7.88,179.13,179.00,179.00,0.48,0.23,176.66,177.00,177.00,1
6994,971,C,Yes,None,175,167,176,1.38,1.90,174.94,175.00,175.00,7.94,63.01,173.74,168.00,168.00,0.46,0.21,176.30,176.00,176.00,1
8762,738,P,Yes,None,178,185,174,1.01,1.03,175.25,175.00,175.00,5.79,33.50,171.74,168.00,168.00,0.85,0.73,175.20,176.00,175.00,1
10498,469,C,Yes,None,180,194,173,1.67,2.79,177.86,359.00,178.00,7.59,57.62,185.46,194.00,188.00,0.70,0.49,173.77,174.00,174.00,1
13450,1417,Q,Yes,None,178,187,170,0.71,0.51,179.99,180.00,180.00,12.19,148.69,206.52,194.00,204.00,1.73,2.99,172.06,173.00,173.00,1
14669,633,Y,Yes,None,177,176,173,1.48,2.20,178.96,180.00,179.00,18.33,335.82,197.50,178.00,196.00,1.47,2.17,171.52,173.00,172.00,1
16539,500,T,Yes,None,176,171,172,1.11,1.23,176.22,175.00,176.00,3.52,12.40,175.09,173.00,173.00,0.57,0.33,172.18,172.00,172.00,1
18843,800,Z,Yes,None,176,170,173,0.35,0.12,175.86,176.00,176.00,1.22,1.50,171.19,172.00,171.00,0.49,0.24,172.41,172.00,172.00,1
20847,795,W,Yes,None,177,169,177,0.50,0.25,176.45,176.00,176.00,8.07,65.12,164.13,172.00,167.50,2.61,6.79,174.89,172.00,174.00,1
23069,1016,B,Yes,None,177,182,173,0.34,0.12,176.87,357.00,177.00,5.83,34.03,173.85,182.00,174.00,1.71,2.91,175.68,177.00,176.00,1
25987,1923,A,Yes,None,164,180,176,8.10,65.57,163.33,155.00,161.00,3.56,12.68,186.29,191.00,186.00,1.31,1.70,175.50,176.00,176.00,1
28071,2000,b,No,Omission,178,193,172,8.45,71.41,168.85,177.00,173.00,5.89,34.73,182.31,192.00,182.00,1.61,2.59,175.07,176.00,176.00,0
28792,721,V,Yes,None,178,194,172,4.79,22.94,174.13,178.00,176.00,7.66,58.65,184.55,192.00,183.00,1.75,3.08,173.98,172.00,175.00,1
32077,2000,X,Yes,None,177,186,171,0.51,0.26,176.46,176.00,176.00,4.69,22.04,182.50,185.00,185.00,0.34,0.11,172.06,172.00,172.00,1
32779,701,D,Yes,None,177,185,172,0.50,0.25,176.45,176.00,176.00,4.21,17.70,182.10,185.00,185.00,0.46,0.21,171.97,172.00,172.00,1
35217,1133,M,Yes,None,177,176,173,0.23,0.05,177.06,357.00,177.00,2.70,7.29,182.94,183.00,183.00,0.63,0.40,171.88,172.00,172.00,1
37651,1550,P,Yes,None,178,178,170,0.57,0.32,177.70,178.00,178.00,1.14,1.30,178.47,178.00,178.00,1.33,1.77,170.64,170.00,170.00,1
38865,752,D,Yes,None,178,178,170,0.23,0.05,178.06,178.00,178.00,0.71,0.51,178.54,178.00,178.00,0.40,0.16,169.82,170.00,170.00,1
40852,733,E,Yes,None,178,178,170,0.00,0.00,178.00,178.00,178.00,0.00,0.00,178.00,178.00,178.00,0.00,0.00,170.00,170.00,170.00,1
42800,666,I,Yes,None,179,191,170,0.46,0.21,178.31,178.00,178.00,4.21,17.73,180.80,178.00,178.00,0.11,0.01,170.01,170.00,170.00,1
44818,667,J,Yes,None,178,195,180,0.55,0.30,179.44,359.00,179.00,4.68,21.86,191.91,193.00,193.00,4.37,19.08,174.27,170.00,172.00,1
46768,599,M,Yes,None,174,183,173,1.96,3.85,177.19,175.00,177.00,8.05,64.75,188.38,193.00,193.00,3.09,9.58,177.34,180.00,178.00,1
49321,1147,D,Yes,None,173,183,172,0.66,0.43,173.39,173.00,173.00,1.74,3.04,183.02,184.00,183.00,0.43,0.19,172.24,172.00,172.00,1
50960,767,J,Yes,None,175,196,172,0.64,0.41,173.31,173.00,173.00,3.67,13.44,184.88,183.00,183.00,0.00,0.00,172.00,172.00,172.00,1
52594,382,b,Yes,None,175,189,172,1.00,1.00,174.52,355.00,175.00,5.59,31.21,191.69,197.00,194.00,0.24,0.06,172.06,172.00,172.00,1
54496,273,a,Yes,None,175,185,172,0.33,0.11,175.12,355.00,175.00,5.08,25.78,188.82,185.00,185.00,0.00,0.00,172.00,172.00,172.00,1
56826,598,X,No,Commission,176,185,171,0.57,0.32,175.41,175.00,175.00,1.09,1.19,185.92,185.00,185.00,0.49,0.24,171.61,172.00,172.00,0
60249,2000,W,No,Omission,169,253,168,4.14,17.15,172.56,168.00,174.00,32.28,1042.26,228.30,185.00,248.50,3.48,12.11,168.33,171.00,171.00,0
61166,917,J,Yes,None,174,178,174,3.58,12.79,171.09,168.00,169.50,29.00,841.03,233.89,259.00,251.00,3.80,14.46,168.53,164.00,169.00,1
64262,2000,x,Yes,None,177,182,171,0.66,0.43,176.50,177.00,177.00,1.58,2.50,181.33,181.00,181.00,0.72,0.52,172.43,172.00,172.00,1
64785,523,a,Yes,None,176,183,170,0.53,0.28,176.62,177.00,177.00,1.08,1.17,181.97,181.00,182.00,0.83,0.68,171.93,172.00,172.00,1
68271,2000,x,Yes,None,179,180,173,0.68,0.46,177.31,177.00,177.00,0.67,0.45,179.77,180.00,180.00,0.38,0.14,172.16,172.00,172.00,1
69086,815,B,Yes,None,179,169,176,0.81,0.66,177.87,177.00,178.00,4.25,18.03,177.82,180.00,180.00,1.50,2.26,173.06,172.00,172.00,1
71291,1019,Z,Yes,None,178,179,176,1.70,2.89,179.59,178.00,179.00,29.92,895.03,143.92,169.00,157.00,1.34,1.80,176.28,176.00,176.00,1
74144,1867,V,Yes,None,175,191,175,3.61,13.00,179.58,4.00,179.00,32.36,1047.30,228.26,268.00,230.50,2.07,4.29,173.09,171.00,173.00,1
76305,2000,E,No,Omission,170,187,173,3.76,14.17,172.44,175.00,174.00,34.19,1168.93,231.44,262.00,228.00,3.15,9.93,172.76,175.00,174.00,0
76556,250,x,No,Commission,173,183,174,3.55,12.59,172.03,175.00,172.00,35.26,1243.02,225.23,190.00,213.00,3.17,10.04,172.84,174.00,174.00,0
78711,399,H,Yes,None,176,192,171,3.36,11.28,173.97,177.00,175.00,27.42,751.64,194.77,187.00,186.00,2.32,5.37,171.82,174.00,172.00,1
82328,2000,X,Yes,None,178,168,175,1.33,1.76,176.91,177.00,177.00,25.39,644.64,177.40,222.00,170.00,2.67,7.12,172.64,171.00,173.00,1
83094,766,G,Yes,None,178,168,177,1.12,1.26,176.91,178.00,177.00,11.42,130.35,165.62,169.00,168.00,2.28,5.19,174.08,176.00,175.00,1
85760,1420,Z,Yes,None,178,183,178,1.15,1.31,179.31,178.00,179.00,7.58,57.42,178.60,188.00,178.00,1.04,1.08,177.48,178.00,178.00,1
86495,150,M,Yes,None,178,182,178,1.15,1.31,179.32,178.00,179.00,5.13,26.30,181.81,182.00,182.00,0.90,0.82,177.87,178.00,178.00,1
88945,600,G,Yes,None,177,177,175,0.60,0.36,177.51,178.00,178.00,11.84,140.27,188.95,182.00,182.00,1.68,2.82,176.36,178.00,176.50,1
91064,709,T,Yes,None,177,181,174,0.11,0.01,176.99,177.00,177.00,3.89,15.17,177.05,181.00,178.00,0.67,0.45,175.18,175.00,175.00,1
93293,933,G,Yes,None,176,179,175,0.50,0.25,176.46,176.00,176.00,1.26,1.60,180.24,180.00,180.00,0.37,0.14,174.84,175.00,175.00,1
96379,2000,x,Yes,None,173,124,177,1.57,2.47,174.88,176.00,175.00,16.58,274.77,161.68,178.00,164.00,0.88,0.78,174.79,174.00,175.00,1
97064,685,Z,Yes,None,178,168,175,1.72,2.97,174.82,355.00,175.00,15.81,250.10,155.29,161.00,160.00,1.01,1.01,175.12,175.00,175.00,1
99149,766,D,Yes,None,178,177,176,1.76,3.11,177.17,178.00,178.00,17.19,295.51,166.26,177.00,176.00,0.92,0.85,175.65,176.00,176.00,1
101602,1208,T,Yes,None,178,187,174,0.00,0.00,178.00,178.00,178.00,4.17,17.39,180.13,176.00,178.00,0.79,0.62,175.45,176.00,176.00,1
103702,1304,Q,Yes,None,178,186,174,0.00,0.00,178.00,178.00,178.00,0.83,0.68,186.16,186.00,186.00,0.33,0.11,174.13,174.00,174.00,1
